Operateur;lon;lat;2G;3G;4G
20820;-4.060559;48.560226;1;1;1
20810;-4.060482;48.560158;1;1;1
20815;-4.05222;48.516666;0;1;1
20820;-3.990299;48.099027;1;0;0
20810;-4.049447;48.577712;1;1;1
20820;-4.049442;48.577776;1;1;1
20801;-4.049287;48.577839;1;1;1
20801;-3.956868;47.913308;1;1;1
20801;-3.979654;48.111331;1;1;1
20820;-4.008087;48.346312;1;1;0
20810;-4.008087;48.346312;1;1;0
20815;-4.008075;48.346322;0;1;0
20801;-4.008066;48.346359;1;1;0
20810;-4.028651;48.503037;1;1;1
20820;-4.028325;48.503345;1;1;1
20801;-3.94666;47.963025;1;1;0
20820;-3.945625;47.962318;1;1;1
20815;-3.945613;47.962328;0;1;1
20810;-3.94559;47.962257;1;1;1
20801;-3.926296;47.872324;1;1;0
20810;-3.928521;47.920969;1;1;1
20820;-3.928421;47.921029;1;1;1
20815;-3.928421;47.921029;0;1;1
20801;-3.919887;47.871673;1;1;1
20815;-3.917508;47.881941;0;1;1
20820;-3.917409;47.88201;1;1;1
20810;-3.917416;47.882064;1;1;1
20801;-3.917377;47.881967;1;1;0
20810;-4.015856;48.632343;1;1;1
20820;-4.015812;48.632219;1;1;1
20820;-3.967372;48.292007;1;1;1
20810;-3.967372;48.292007;1;1;1
20820;-4.026958;48.745278;1;0;0
20810;-3.95616;48.226523;1;1;1
20820;-3.956124;48.22666;1;1;1
20815;-3.956112;48.22667;0;1;1
20815;-3.911396;47.902729;0;1;1
20801;-3.911387;47.902765;1;1;0
20801;-3.962998;48.295471;1;1;0
20810;-4.015889;48.69605;1;1;1
20820;-4.015776;48.696021;1;1;1
20801;-3.952646;48.228374;1;1;0
20801;-3.90338;47.865664;1;1;1
20820;-3.905605;47.895617;1;1;1
20810;-3.905546;47.895575;1;1;1
20815;-4.005416;48.691809;0;1;1
20801;-4.005366;48.691839;1;1;0
20810;-4.011479;48.746326;0;1;0
20820;-3.909283;47.980555;1;1;1
20810;-3.909171;47.98011;1;1;1
20820;-3.991287;48.633123;1;1;1
20815;-3.991262;48.633242;0;1;1
20801;-3.975607;48.52873;1;1;1
20801;-3.886055;47.860966;1;1;0
20801;-3.987314;48.658813;1;1;0
20810;-3.880537;47.877199;1;1;1
20820;-3.880511;47.877309;1;1;1
20801;-3.88049;47.877356;1;1;0
20820;-3.910951;48.133328;1;1;1
20810;-3.910951;48.133328;1;1;1
20801;-3.987781;48.712983;1;1;0
20810;-3.981864;48.669012;1;1;1
20801;-3.981656;48.668888;1;1;1
20810;-3.987521;48.712772;1;1;1
20820;-3.987504;48.712746;1;1;1
20820;-3.981527;48.668842;1;1;1
20815;-3.981515;48.668852;0;1;0
20801;-3.868312;47.858512;0;1;0
20801;-3.884903;47.994617;1;1;0
20810;-3.876193;47.991279;1;1;1
20820;-3.876117;47.991112;1;1;1
20815;-3.876133;47.991337;0;1;1
20815;-3.970778;48.721537;0;1;0
20820;-3.96948;48.72183;1;1;1
20810;-3.96948;48.72183;1;1;1
20801;-3.968923;48.72226;0;1;1
20810;-3.864356;47.949344;1;1;1
20820;-3.864314;47.949437;1;1;1
20820;-3.937011;48.525576;1;1;1
20815;-3.936997;48.525577;0;1;1
20810;-3.936953;48.525552;1;1;1
20815;-3.841474;47.803975;0;1;0
20801;-3.841465;47.804011;1;1;0
20801;-3.852688;47.903685;1;1;0
20810;-3.852607;47.90368;1;1;1
20820;-3.85256;47.903737;1;1;1
20815;-3.852561;47.903746;0;1;1
20820;-3.836233;47.809927;1;1;1
20810;-3.836233;47.809927;1;1;1
20801;-3.840497;47.854649;1;1;1
20820;-3.829473;47.85691;1;1;1
20815;-3.82946;47.85691;0;1;1
20810;-3.829445;47.857002;1;1;1
20801;-3.837688;47.970125;0;1;1
20820;-3.837598;47.970157;1;1;1
20810;-3.837598;47.970157;1;1;1
20801;-3.831805;47.951652;0;1;1
20801;-3.889546;48.413115;1;1;0
20820;-3.889438;48.413329;1;1;1
20815;-3.889438;48.413329;0;1;1
20810;-3.889438;48.413329;1;1;1
20810;-3.913699;48.659748;1;1;1
20801;-3.913632;48.659752;1;1;0
20820;-3.913613;48.659717;1;1;1
20801;-3.795054;47.823574;1;1;0
20815;-3.897679;48.613826;0;1;1
20801;-3.897657;48.613863;1;1;0
